Date,Open,High,Low,Close,Adj Close,Volume
2018-09-30,130000.0,130000.0,102500.0,106500.0,87959.8671875,12778244
2018-10-31,106500.0,110500.0,92500.0,107000.0,88372.8359375,18634890
2018-11-30,108500.0,124500.0,105500.0,118500.0,97870.84375,12612735
2018-12-31,118500.0,132000.0,113000.0,129500.0,109698.359375,12840421
2019-01-31,129500.0,130000.0,118500.0,126500.0,107157.0859375,10278056
2019-02-28,126500.0,129000.0,117000.0,119500.0,101227.4453125,10837859
2019-03-31,120000.0,140500.0,117500.0,138500.0,117322.1875,12400505
2019-04-30,138500.0,140500.0,125000.0,134500.0,113933.828125,13022972
2019-05-31,134000.0,143500.0,132500.0,140000.0,118592.828125,7738160
2019-06-30,141500.0,142500.0,126500.0,126500.0,107919.765625,11677273
2019-07-31,126500.0,132500.0,123000.0,128500.0,109626.015625,11835317
2019-08-31,128000.0,136500.0,125500.0,134000.0,114318.1953125,10405909
2019-09-30,134000.0,134000.0,120000.0,122000.0,104080.7265625,11660438
2019-10-31,121500.0,126000.0,120000.0,121000.0,103227.6015625,13907036
2019-11-30,121000.0,125000.0,117500.0,120500.0,102801.0390625,24707303
2019-12-31,120500.0,133000.0,110000.0,125000.0,109317.25,21724770
2020-01-31,123000.0,137500.0,114000.0,115000.0,100571.8671875,19525736
2020-02-29,116000.0,116500.0,65000.0,88700.0,77571.5234375,50502177
2020-03-31,88500.0,103500.0,83000.0,93600.0,81856.75,41304577
2020-04-30,93600.0,99600.0,90500.0,98000.0,85704.7265625,29451686
2020-05-31,98000.0,115000.0,97000.0,97700.0,85442.3671875,35327068
2020-06-30,98500.0,130500.0,98000.0,126500.0,110629.0546875,50392410
2020-07-31,126500.0,182000.0,123500.0,176500.0,154355.953125,78777457
2020-08-31,178500.0,191500.0,165500.0,178500.0,156105.046875,51843561
2020-09-30,178500.0,188500.0,156500.0,164500.0,143861.5,42203538
2020-10-31,166000.0,188500.0,166000.0,181500.0,158728.625,41595534
2020-11-30,183000.0,199000.0,179500.0,192000.0,167911.296875,40068950
2020-12-31,192000.0,289000.0,192000.0,229000.0,203490.671875,98505600
2021-01-31,229000.0,253000.0,224500.0,237000.0,210599.5,30116099
2021-02-28,237000.0,249000.0,211000.0,218000.0,193716.03125,23179604
2021-03-31,220500.0,238500.0,211000.0,212000.0,188384.40625,20693301
2021-04-30,212000.0,236000.0,211000.0,235000.0,208822.3125,22902066
2021-05-31,235000.0,249000.0,232000.0,239500.0,212821.046875,20470541
2021-06-30,238500.0,243500.0,218000.0,218000.0,194523.1875,17183693
2021-07-31,218000.0,225000.0,200000.0,212500.0,189615.5,14350998
2021-08-31,214000.0,218500.0,197500.0,200000.0,178461.609375,11799356
2021-09-30,198000.0,215000.0,189000.0,208000.0,185600.078125,14582859
2021-10-31,208000.0,220000.0,194500.0,195500.0,174446.25,15678239
2021-11-30,198500.0,217000.0,196500.0,209000.0,186492.40625,13280620
2021-12-31,211500.0,217500.0,185500.0,186500.0,169585.3125,11892548
2022-01-31,186500.0,195500.0,171000.0,174000.0,158218.984375,11556422
2022-02-28,174000.0,183000.0,163000.0,180500.0,164129.46875,12747009
2022-03-31,178000.0,191000.0,174500.0,186000.0,169130.625,16174933
2022-04-30,184000.0,189500.0,176000.0,189500.0,172313.203125,11530639
2022-05-31,189500.0,189500.0,168000.0,180500.0,164129.46875,17438131
2022-06-30,181500.0,198500.0,172000.0,196000.0,179187.0625,19363851
2022-07-31,196000.0,199500.0,184000.0,196000.0,179187.0625,16375947
2022-08-31,193500.0,203500.0,174000.0,176500.0,161359.765625,16793348
2022-09-30,176500.0,184000.0,160000.0,164500.0,150389.125,16649893
2022-10-31,163500.0,179500.0,160500.0,169000.0,154503.125,15535503
2022-11-30,172000.0,173000.0,150500.0,151000.0,138047.171875,11387686
2022-12-31,154000.0,177600.0,154000.0,170000.0,161552.234375,8864094
2023-01-31,169200.0,180000.0,168700.0,176300.0,167539.15625,1296286
2023-02-28,176300.0,184900.0,170500.0,184500.0,175331.6875,11690493
2023-03-31,184600.0,207500.0,182300.0,197500.0,187685.6875,16892557
2023-04-30,197500.0,211500.0,197400.0,200000.0,190061.453125,12759654
2023-05-31,199800.0,209000.0,194000.0,206500.0,196238.4375,11549575
2023-06-30,207500.0,210000.0,194000.0,196000.0,187626.4375,13134828
2023-07-31,195200.0,199600.0,182600.0,189100.0,181021.203125,10112592
2023-08-31,188000.0,196000.0,184400.0,191100.0,182935.765625,6720427
2023-09-30,191100.0,193200.0,169300.0,169700.0,163723.140625,9357553
2023-10-31,170800.0,186500.0,169400.0,184300.0,177808.921875,8431136
2023-11-30,183300.0,203500.0,180700.0,203500.0,196332.703125,8808029
2023-12-31,203500.0,203500.0,179800.0,194600.0,187746.15625,10684615
2024-01-31,193900.0,261000.0,193500.0,250500.0,241677.359375,47239276
2024-02-29,255500.0,260000.0,232000.0,233000.0,233000.0,22909204
2024-03-29,238000.0,239000.0,232000.0,233000.0,233000.0,852346
